year,etthehiphoppreacher,BIG OSS Jiu-Jitsu Channel,Bernardo Faria BJJ Fanatics,ROYDEAN,Knight Jiu-Jitsu,JonThomasBJJ,The Art of Skill,Jordan Teaches Jiujitsu,BJJ Globetrotters in Action,The Grappling Academy,Jocko Podcast,CVBJJ Online,Chewjitsu,Paul Elam,ATHLEAN-X™,Dubious Dom,JonThomasBJJ Plus,Video Advice,Valuetainment,Redacted
2017,13,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,1,1,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0
2019,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,0
2020,23,0,4,0,15,0,0,0,0,0,21,0,2,1,0,0,0,5,13,0
2021,14,0,1,0,8,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0
2022,63,0,11,0,4,0,0,5,0,2,1,0,5,0,0,0,0,1,0,0
2023,7,43,16,21,6,26,13,15,6,15,3,27,7,0,0,0,10,0,1,6
2024,2,30,15,28,14,13,25,14,31,14,1,2,9,0,0,19,10,3,1,8
2025,17,3,6,0,1,5,1,1,1,0,2,0,1,0,0,2,0,0,1,3
2026,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
