channel_name,total_videos,primary_theme,theme_breakdown
etthehiphoppreacher,147,Discipline / Mindset,Discipline / Mindset:147
BIG OSS Jiu-Jitsu Channel,76,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:76
Bernardo Faria BJJ Fanatics,53,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:53
ROYDEAN,49,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:49
Knight Jiu-Jitsu,48,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:48
JonThomasBJJ,44,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:44
The Art of Skill,39,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:23; Discipline / Mindset:16
Jordan Teaches Jiujitsu,38,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:38
BJJ Globetrotters in Action,38,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:38
The Grappling Academy,31,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:31
Jocko Podcast,30,Leadership / Military,Leadership / Military:26; Discipline / Mindset:4
CVBJJ Online,29,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:29
Chewjitsu,24,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:24
Paul Elam,22,Philosophy / Masculinity,Philosophy / Masculinity:22
ATHLEAN-X™,22,Health / Fitness,Health / Fitness:22
Dubious Dom,21,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:21
JonThomasBJJ Plus,20,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:20
Video Advice,19,Discipline / Mindset,Discipline / Mindset:19
Valuetainment,19,Business / Marketing,Business / Marketing:13; Finance / Wealth:5; Podcasts:1
Redacted,17,Politics / News,Politics / News:17
jidapon,16,Discipline / Mindset,Discipline / Mindset:16
Stephan Kesting,15,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:15
Benjamin - Der Deutschlehrer,15,German Language,German Language:15
WeAreChange,15,Politics / News,Politics / News:14; Finance / Wealth:1
Chris Bossio,14,Barber / Craft,Barber / Craft:14
Matt Arroyo Jiu Jitsu ,14,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:14
Tristar Gym,14,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:9; Other:4; Philosophy / Masculinity:1
Andy Frisella,14,Discipline / Mindset,Discipline / Mindset:14
Josh Saunders ,14,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:14
YOUTUBE BARBER ACADEMY,13,Barber / Craft,Barber / Craft:13
BJJ Fanatics,13,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:13
SGTreport,13,Politics / News,Politics / News:13
Malachy Friedman,13,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:8; Other:3; Music:2
360Jeezy,13,Barber / Craft,Barber / Craft:13
Bedros Keuilian,12,Business / Marketing,Business / Marketing:9; Discipline / Mindset:3
Evan Carmichael,12,Discipline / Mindset,Discipline / Mindset:9; Business / Marketing:3
Brian Glick,12,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:11; Other:1
Meek Mill,11,Music,Music:11
Project Veritas,11,Politics / News,Politics / News:11
The BJJ Project,11,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:11
The Grapplers Guide by Jason Scully,11,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:11
Chris Voss & The Black Swan Group,11,Business / Marketing,Business / Marketing:9; Other:1; Finance / Wealth:1
Jedi Does Jiujitsu,10,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:10
Brandon Mccaghren,10,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:10
RWBJJ,10,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:10
GracieBreakdown,10,Other,Other:5; Brazilian Jiu-Jitsu:5
Comedy Crackhead,10,Comedy / Entertainment,Comedy / Entertainment:10
Will Brooks Official,10,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:10
BJJ4Breakfast,9,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:9
Wrestling University - Takedowns for Jiu Jitsu,9,Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu:9
Dr. Eric Berg DC,9,Health / Fitness,Health / Fitness:4; Other:3; Discipline / Mindset:1
TEDx Talks,9,Other,Other:3; Philosophy / Masculinity:3; Discipline / Mindset:1
Jordan B Peterson,9,Philosophy / Masculinity,Philosophy / Masculinity:3; Other:2; Spiritual / Faith:2
Echelon Front,9,Leadership / Military,Leadership / Military:4; Business / Marketing:4; Philosophy / Masculinity:1
GaryVee,9,Business / Marketing,Business / Marketing:8; Music:1
Learn German,9,German Language,German Language:9
Motiversity,8,Discipline / Mindset,Discipline / Mindset:7; Health / Fitness:1
