rank,channel_name,video_count,pct_of_active,primary_theme,year_first,year_last,span_years
1,etthehiphoppreacher,147,4.74,Discipline / Mindset,2017,2026,9
2,BIG OSS Jiu-Jitsu Channel,76,2.45,Brazilian Jiu-Jitsu,2023,2025,3
3,Bernardo Faria BJJ Fanatics,53,1.71,Brazilian Jiu-Jitsu,2020,2025,6
4,ROYDEAN,49,1.58,Brazilian Jiu-Jitsu,2023,2024,2
5,Knight Jiu-Jitsu,48,1.55,Brazilian Jiu-Jitsu,2020,2025,6
6,JonThomasBJJ,44,1.42,Brazilian Jiu-Jitsu,2023,2025,3
7,The Art of Skill,39,1.26,Brazilian Jiu-Jitsu,2023,2025,3
8,Jordan Teaches Jiujitsu,38,1.23,Brazilian Jiu-Jitsu,2022,2026,5
9,BJJ Globetrotters in Action,38,1.23,Brazilian Jiu-Jitsu,2023,2025,3
10,The Grappling Academy,31,1.0,Brazilian Jiu-Jitsu,2022,2024,3
11,Jocko Podcast,30,0.97,Leadership / Military,2020,2025,6
12,CVBJJ Online,29,0.94,Brazilian Jiu-Jitsu,2023,2024,2
13,Chewjitsu,24,0.77,Brazilian Jiu-Jitsu,2020,2025,5
14,Paul Elam,22,0.71,Philosophy / Masculinity,2017,2020,4
15,ATHLEAN-X™,22,0.71,Health / Fitness,2017,2021,3
16,Dubious Dom,21,0.68,Brazilian Jiu-Jitsu,2024,2025,2
17,JonThomasBJJ Plus,20,0.64,Brazilian Jiu-Jitsu,2023,2024,2
18,Video Advice,19,0.61,Discipline / Mindset,2017,2024,6
19,Valuetainment,19,0.61,Business / Marketing,2017,2025,6
20,Redacted,17,0.55,Politics / News,2023,2025,3
21,jidapon,16,0.52,Discipline / Mindset,2024,2024,1
22,Stephan Kesting,15,0.48,Brazilian Jiu-Jitsu,2020,2025,5
23,Benjamin - Der Deutschlehrer,15,0.48,German Language,2022,2023,2
24,WeAreChange,15,0.48,Politics / News,2017,2025,7
25,Chris Bossio,14,0.45,Barber / Craft,2018,2021,4
26,Matt Arroyo Jiu Jitsu ,14,0.45,Brazilian Jiu-Jitsu,2023,2025,3
27,Tristar Gym,14,0.45,Brazilian Jiu-Jitsu,2022,2025,4
28,Andy Frisella,14,0.45,Discipline / Mindset,2021,2022,2
29,Josh Saunders ,14,0.45,Brazilian Jiu-Jitsu,2024,2025,2
30,YOUTUBE BARBER ACADEMY,13,0.42,Barber / Craft,2019,2022,3
31,BJJ Fanatics,13,0.42,Brazilian Jiu-Jitsu,2023,2025,3
32,SGTreport,13,0.42,Politics / News,2018,2020,3
33,Malachy Friedman,13,0.42,Brazilian Jiu-Jitsu,2023,2024,2
34,360Jeezy,13,0.42,Barber / Craft,2018,2022,4
35,Bedros Keuilian,12,0.39,Business / Marketing,2023,2023,1
36,Evan Carmichael,12,0.39,Discipline / Mindset,2017,2022,4
37,Brian Glick,12,0.39,Brazilian Jiu-Jitsu,2024,2025,2
38,Meek Mill,11,0.35,Music,2020,2021,2
39,Project Veritas,11,0.35,Politics / News,2018,2022,4
40,The BJJ Project,11,0.35,Brazilian Jiu-Jitsu,2025,2025,1
41,The Grapplers Guide by Jason Scully,11,0.35,Brazilian Jiu-Jitsu,2020,2024,3
42,Chris Voss & The Black Swan Group,11,0.35,Business / Marketing,2020,2022,3
43,Jedi Does Jiujitsu,10,0.32,Brazilian Jiu-Jitsu,2020,2024,4
44,Brandon Mccaghren,10,0.32,Brazilian Jiu-Jitsu,2022,2024,3
45,RWBJJ,10,0.32,Brazilian Jiu-Jitsu,2023,2025,3
46,GracieBreakdown,10,0.32,Other,2020,2022,3
47,Comedy Crackhead,10,0.32,Comedy / Entertainment,2017,2023,5
48,Will Brooks Official,10,0.32,Brazilian Jiu-Jitsu,2023,2025,3
49,BJJ4Breakfast,9,0.29,Brazilian Jiu-Jitsu,2024,2024,1
50,Wrestling University - Takedowns for Jiu Jitsu,9,0.29,Brazilian Jiu-Jitsu,2024,2024,1
